Year,Nigeria,Adamawa,Akwa Ibom,Anambra,Benue,Borno,Cross River,Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1901,1344.89,1025.47,2639.57,2242.89,1658.13,568.55,2512.83,3024.8,2639.05,1553.5,2436.42,633.94,1284.47,794.88,751.28,897.72,1741.05,1638.49,2371.76,1346.51,2130.93,2226.92,1840.54,1355.37,543.21,2435.23,905.25,2945.3,2170.08,2177.53,1936.3,869.05,1439.77,2621.25,1211.56,2568.02,674.2,886.57
1902,1150.76,1025.47,2958.45,2094.62,1725.11,568.55,2761.82,2221.06,1667.74,1174.97,2489.93,633.94,1123.92,792.51,748.04,885.77,1328.09,978.62,1190.12,1073.58,1089.33,1055.2,968.39,1371.86,543.21,2626.46,897.1,2581.38,2317.05,1111.19,2034.81,869.05,1206.83,1318.3,1122.55,2737.25,674.2,880.17
1903,1222.17,1025.47,2902.59,2195.42,1766.09,568.55,2743.53,2500.09,1956.98,1406.2,2543.11,633.94,1227.55,793.82,749.95,887.25,1498.54,1120.97,1486.55,1173.7,1330.77,1413.49,1121.87,1376.25,543.21,2621.04,901.81,2789.58,2320.23,1466,2050.68,869.05,1394.84,1720.48,1180.15,2772,674.2,884.21
1904,1155.25,996.41,2738.85,2031.23,1602.78,522.16,2555.9,2410.35,1855.39,1073.45,2363.91,633.94,1079.32,791.84,747.04,881.23,1315.05,1089.52,1557.58,1028.62,1392.43,1403.03,1165.03,1363.34,535.9,2430.39,894.99,2722.37,2119.99,1393.23,1851.44,867.76,1132.58,1669.13,1100.28,2636.84,674.2,878.12
1905,1262.99,1028.84,3152.08,2358.62,1825.43,556.63,2974.42,2527.35,1930.75,1287.65,2794.32,760.3,1312.77,984.19,911.34,910.38,1484.54,1084.44,1431.55,1141.77,1277.7,1323.76,1078.71,1391.45,574.14,2889.79,1052.12,2894.49,2517.63,1386.44,2219.84,923.53,1305.28,1639.38,1204.93,3049.36,695.6,1016.81
1906,1255.97,1021.45,3012.3,2203.73,1781.42,602.14,2842.88,2526.59,1901.41,1259.24,2571.01,745.62,1282.91,932.02,905.4,880.89,1420.57,1139.43,1646.34,1119.62,1433.23,1386.54,1175.78,1450.59,577.74,2657.46,1002.34,2896.21,2331.09,1417.51,2020.23,885.72,1307.56,1700.85,1241.14,2846.01,706.49,1010.47
1907,1040.54,748.99,2259.89,1717.57,1358.95,539.51,2159.69,2075.1,1590.84,979.05,1973.85,704.72,966.71,823.81,742.2,752.62,1145.93,1076.61,1755.95,968.76,1543.52,1407.89,1275.54,1120.51,543.31,2012.22,812.55,2358.42,1779.82,1298.12,1563.5,657.56,982.58,1534.17,984.97,2166.79,588.35,775.07
1908,1220.53,1165.98,2790.04,1979.16,1652.28,611.74,2642.63,2377.58,1835.93,1177.65,2333.01,715.35,1193.4,873.8,755.61,778.59,1305.92,1171.66,1683.6,1049.52,1519.73,1503.89,1303.63,1523.86,593.93,2443.47,1072.17,2684.28,2138.23,1446.54,1813.1,1036.34,1227.64,1717.65,1313.71,2594.81,588,808.25
1909,1369.72,1241.39,2811.98,2228.71,1759.55,754.22,2708.01,2557.19,2051.86,1457.72,2510.27,795,1484.13,1035.64,994.82,1103.77,1562.89,1292.49,1691.14,1309.66,1506.19,1540.31,1299.71,1517.19,676.3,2527.63,1141.69,2810.09,2243.55,1652.26,2005.86,1047.32,1401.58,1833.85,1375.82,2699.43,858.76,1141.39
1910,1131.93,992.77,2414.5,1808.94,1427.7,561.39,2245.85,2289.32,1858.59,1213.89,2062.83,596.52,1075,744.61,702.05,827.41,1336.37,1230.09,1755.39,1152.69,1539.43,1446.42,1268.27,1298.41,511.36,2137.13,856.47,2356.25,1879.46,1453.06,1637.92,835.83,1143.06,1727.9,1079.58,2254.48,610.18,831.87
1911,1293.68,1141.29,2697.42,2057.72,1633.32,671.05,2525.32,2474.36,1919.05,1248.96,2383.43,703.63,1388.46,961.77,891.61,1090.44,1362.5,1152.68,1875.33,1132.17,1641.4,1573.25,1318.31,1512.2,616.06,2433.96,1118.99,2793.32,2097.33,1492.21,1856.32,1005.67,1278.06,1814.34,1388.26,2629.6,839.38,1117.26
1912,1036.8,944.85,2581.79,1851.02,1484.12,467.71,2421.47,2050.17,1620.53,1083.38,2173.05,535.26,1103.1,700.88,642.12,675.77,1218.11,882.44,1244.7,947.69,1053.83,1069.94,860.55,1286.46,456.58,2255.61,853.07,2302.7,1985.09,1191.58,1708.68,805.1,1107.69,1396.37,1085.13,2386.8,521.29,772.63
1913,1041.83,809.27,2772.23,1857.91,1491.09,337.72,2562.92,2240.33,1713.21,1098.4,2231.97,467.17,981.17,634.86,578.67,746.84,1249.11,1087.21,1595.37,1058.73,1371.11,1266.76,1116.69,1241.38,374.92,2346.28,728.9,2529.3,2002.65,1269.93,1689.46,676.49,1063.75,1552.01,979.24,2529.34,492.4,720.25
1914,979.96,838.3,2398.19,1588.36,1298.87,407.64,2151.96,1938.63,1424.76,813.65,1937.9,613.44,963.07,771.44,717.26,748.2,939.56,825.75,1496.36,806.26,1270.05,1136.01,949.53,1329.57,446.65,2045.51,841.85,2297.18,1700.29,1075.35,1431.01,742.74,893.92,1347.84,1006.92,2237.03,620.52,833.57
1915,1169.64,820.62,2939.57,2009.54,1615.92,521.68,2745.08,2521.74,1917.36,1112.28,2379.16,669.31,1122.92,826.16,798.74,823.88,1303.31,1209.03,1863.7,1089.82,1615.06,1488.38,1325.94,1156.01,554.97,2496.2,876.19,2769.39,2166.92,1423.94,1826.21,788.09,1144.51,1790.46,1044.55,2662.76,657.27,942.47
1916,1312.27,1271.19,2762.81,2030.72,1691.62,678.44,2640.95,2311.75,1896.57,1337.41,2328.64,846.65,1443.72,1039.71,959.28,958.06,1438.33,1214.25,1593.56,1269.14,1409.16,1396.32,1167.76,1570.19,705.65,2432.7,1145.39,2527.53,2170.64,1514.31,1866.38,1095.84,1342.5,1698.63,1351.09,2534.81,741.43,1080.45
1917,1282.71,980.75,2549.75,1967.22,1565.75,549.89,2466.84,2778.88,2233.49,1344.44,2236.61,660.72,1275.4,861.24,782.82,803.94,1490.63,1620.51,2351,1317.5,2091.71,2060.15,1805.48,1315.99,536.32,2274.92,960.07,2843.66,2013.72,1909.84,1763.85,887.65,1263.02,2287.12,1177.62,2464.77,562,916.68
1918,1244.16,1256.65,2710.56,2043.67,1541.5,655.74,2507.87,2340.63,1873.86,1193.1,2351.98,826.38,1267.68,991.78,961.9,983.84,1380.98,1064.85,1510.83,1125.95,1316.88,1285.63,1046.37,1474.95,703.61,2419.23,1047.87,2585.69,2093.83,1415.48,1844.22,1033.73,1181.2,1627.17,1169.16,2559.1,832.91,1079.37
1919,1101.11,1078.49,2336.48,1773.64,1485.96,517.42,2288,2033.4,1609.21,1094.56,2046.49,618.76,1104.61,779.75,769.48,976.36,1230.23,926.54,1348.71,1014.35,1164.75,1124.22,915.86,1420.6,504.74,2116.35,893.54,2291.04,1909.09,1236.76,1661.46,875.57,1123.02,1420.42,1116.17,2243.72,802.42,956.88
1920,1238.47,1078.18,2870.47,2054.26,1753.04,700.09,2784.3,2265.35,1807.09,1309.3,2360.33,781.25,1306.03,960.65,935.69,948.75,1436.91,1032.26,1346.57,1170.23,1168.31,1144.74,949.59,1390.4,661.27,2489.52,1015.01,2495.15,2247.1,1315.88,1917.73,944.74,1316.77,1496.08,1197.46,2560.48,787.11,1081.74
1921,1251.19,1097.97,2572.43,1960.2,1547.3,635.02,2391.43,2439.43,1967.72,1319.97,2234.52,693.39,1278.53,879.53,836.3,996.7,1436.11,1293.77,1923.33,1269.65,1692.3,1603.67,1373.08,1325.83,593.57,2296.29,984.38,2604.76,2013.33,1590.4,1779.36,957.86,1267.29,1857.18,1194.4,2453.28,750.29,1008.96
1922,1179.13,1033.03,2448.22,1771.84,1452.19,567.68,2324.84,2263.47,1789.76,1124.17,2046.06,719.86,1195.69,896.92,919.03,1004.6,1239.15,1170.17,1655.2,1124.94,1431.09,1470.43,1223.75,1407.77,572.9,2134.6,896.75,2427.71,1890.92,1427.28,1631.11,815.01,1127,1709.62,1099.8,2273.15,854.2,1090.16
1923,1208.5,1129.17,2503.19,1822.58,1709.13,512.14,2537.51,2087.58,1676.64,1209.52,2104.46,704.22,1251.33,887.27,821.07,1026.74,1297.25,1168.04,1641.47,1147.02,1379.52,1356.88,1161.25,1602.25,539.44,2224.26,991.25,2295.65,2091.43,1361.34,1749.99,950.67,1254.23,1565.4,1249.25,2265.83,792.83,1001.91
1924,1283.06,1141.7,2665.53,2069.22,1658.29,707.19,2556.22,2308.31,1874.69,1307.38,2369.29,752,1314.05,935.98,915.29,1147.05,1446.71,1288.84,1367.8,1307.92,1280.07,1314.55,1192.96,1404.96,664.33,2439.78,1002.68,2604.23,2214.73,1494.78,1924.91,985.6,1277.47,1631.66,1193.42,2559.16,898.67,1153.27
1925,1237.05,1105.51,2628.63,1909.94,1651.02,504.22,2564.37,2261.41,1769.5,1292.32,2231.29,727.24,1288.6,930.41,893.9,1076.6,1351.54,1212.65,1629.84,1257.86,1401.43,1399.41,1200.92,1509.19,528.96,2331.47,984.25,2517.73,2088.98,1385.4,1764.35,882.19,1259.79,1619.59,1231.08,2438.59,839.52,1095.4
1926,1159.49,1085.84,2483.47,1758.81,1542.77,570.7,2392.17,2076.24,1653.95,1218.8,2048.89,659.14,1194.54,858.09,753.51,816.29,1230.8,1164.71,1671.53,1161.44,1434.74,1443.54,1190.68,1449.96,534.61,2169.23,994.13,2266.08,1953.1,1384.63,1637.33,947.74,1213.21,1605.41,1254.35,2241.97,543.73,827.67
1927,1274.1,1156.59,2615.85,1965.94,1559.73,703.44,2407.74,2297.91,1845.04,1324.11,2269.21,761.86,1309.37,943.72,930.86,1232.44,1394.83,1269.19,1333.33,1340.61,1205.63,1284.16,1104.66,1435.51,648.41,2347.51,1005.74,2562.94,2044.29,1453.85,1793.74,975.29,1270.62,1637.76,1222.63,2501.56,961.14,1153.93
1928,1263.35,1156.9,2794.47,2136.99,1662.7,547.52,2617.2,2542.33,1986.9,1308.24,2489.78,754.63,1245.93,923.33,880.61,993.73,1451.1,1272.75,1703.2,1242.61,1484,1526.22,1249.11,1426.51,552.92,2537.39,977.73,2795.58,2219.17,1541.17,1955.11,942.57,1273.33,1818.38,1175.72,2708.48,762.85,983.82
1929,1278.64,1072.89,2814.68,2081.99,1603.9,544.78,2594.33,2499.88,1956.29,1265.32,2433.47,735.58,1250.7,916.63,880.43,1192.74,1412.59,1352.1,1825.54,1315.32,1554.46,1516.47,1289.96,1440.78,568.29,2510.36,989.36,2751.36,2161.8,1531.78,1890.28,939.7,1221.09,1837.64,1182.39,2672.2,851.08,1071.2
