Variable:,tasmin
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1901,20.69,19.79,21.41,21.73,21.21,20.34,21.03,22.29,22.06,21.13,21.50,20.01,19.08,19.18,19.39,21.88,21.53,21.23,22.88,21.50,22.67,21.36,21.40,19.76,20.54,21.38,19.44,21.72,21.51,20.66,21.34,20.10,20.78,22.04,19.36,21.13,21.74,20.30
1902,20.88,20.04,21.68,22.02,21.52,20.42,21.31,22.57,22.34,21.41,21.79,20.12,19.30,19.31,19.47,21.94,21.82,21.41,23.13,21.68,22.91,21.60,21.61,20.06,20.63,21.67,19.66,21.99,21.80,20.92,21.63,20.33,21.09,22.30,19.65,21.40,21.77,20.36
1903,20.91,20.06,21.80,22.10,21.58,20.42,21.42,22.65,22.40,21.44,21.87,20.12,19.31,19.31,19.47,22.04,21.86,21.41,23.10,21.69,22.86,21.61,21.58,20.11,20.63,21.76,19.66,22.08,21.89,20.95,21.72,20.34,21.12,22.33,19.67,21.51,21.87,20.38
1904,21.07,20.28,21.54,21.93,21.57,20.62,21.25,22.47,22.28,21.56,21.67,20.39,19.59,19.61,19.81,22.40,21.85,21.61,23.10,21.96,22.90,21.63,21.69,20.23,20.84,21.54,19.94,21.87,21.73,20.95,21.57,20.58,21.23,22.26,19.88,21.27,22.23,20.74
1905,20.51,19.30,21.87,22.08,21.18,19.78,21.27,22.65,22.39,21.16,21.90,19.50,18.82,18.73,19.09,21.86,21.75,21.18,23.01,21.43,22.71,21.48,21.31,19.42,19.99,21.79,18.92,22.14,21.74,20.85,21.61,19.56,20.71,22.30,19.00,21.57,21.68,20.12
1906,20.93,19.67,21.85,22.21,21.47,20.09,21.38,22.77,22.57,21.64,21.97,20.15,19.50,19.50,19.83,22.12,22.04,21.75,23.29,22.00,23.11,21.93,21.93,19.78,20.40,21.84,19.49,22.18,21.90,21.23,21.78,19.99,21.10,22.55,19.46,21.59,21.97,20.69
1907,21.10,20.58,21.91,22.15,21.88,20.82,21.63,22.69,22.43,21.62,21.97,20.41,19.57,19.62,19.72,21.68,21.96,21.37,23.09,21.69,22.85,21.64,21.55,20.62,21.00,21.88,20.05,22.18,22.05,21.01,21.80,20.82,21.37,22.37,20.08,21.60,21.54,20.31
1908,20.49,19.36,21.53,21.95,21.11,19.88,21.02,22.52,22.32,21.26,21.69,19.77,19.04,19.04,19.28,21.14,21.74,21.13,23.08,21.33,22.85,21.57,21.46,19.39,20.15,21.53,19.12,21.89,21.58,20.90,21.50,19.69,20.75,22.29,19.09,21.28,21.01,19.86
1909,20.74,20.10,22.02,22.19,21.66,20.42,21.61,22.73,22.39,21.32,22.03,19.98,19.08,19.11,19.12,21.20,21.80,20.98,22.89,21.23,22.61,21.43,21.20,20.21,20.60,21.95,19.58,22.26,22.02,20.81,21.79,20.32,21.08,22.26,19.65,21.70,21.06,19.76
1910,21.10,20.31,21.47,21.92,21.75,20.60,21.32,22.46,22.29,21.65,21.63,20.43,19.72,19.74,19.96,22.14,21.91,21.63,23.05,22.00,22.88,21.68,21.73,20.36,20.84,21.51,19.97,21.82,21.80,21.02,21.61,20.61,21.34,22.30,19.97,21.21,22.01,20.72
